caso sem troca
iteração	 vencidas	 perdidas	 porcentagem	
824	271	553	0.3288834951456311
825	272	553	0.3296969696969697
826	272	554	0.32929782082324455
827	273	554	0.3301088270858525
828	273	555	0.32971014492753625
829	274	555	0.330518697225573
830	274	556	0.3301204819277108
831	274	557	0.3297232250300842
832	274	558	0.3293269230769231
833	274	559	0.3289315726290516
834	274	560	0.328537170263789
835	275	560	0.32934131736526945
836	275	561	0.32894736842105265
837	276	561	0.32974910394265233
838	276	562	0.32935560859188545
839	276	563	0.3289630512514899
840	277	563	0.32976190476190476
841	277	564	0.32936979785969084
842	278	564	0.33016627078384797
843	278	565	0.32977461447212336
844	279	565	0.3305687203791469
845	279	566	0.3301775147928994
846	280	566	0.3309692671394799
847	280	567	0.3305785123966942
848	280	568	0.330188679245283
849	281	568	0.3309776207302709
850	281	569	0.3305882352941176
851	281	570	0.3301997649823737
852	281	571	0.32981220657276994
853	281	572	0.32942555685814773
854	281	573	0.32903981264637
855	282	573	0.3298245614035088
856	283	573	0.33060747663551404
857	284	573	0.3313885647607935
858	284	574	0.331002331002331
859	285	574	0.3317811408614668
860	286	574	0.3325581395348837
861	286	575	0.3321718931475029
862	287	575	0.3329466357308585
863	287	576	0.3325608342989571
864	287	577	0.33217592592592593
865	287	578	0.33179190751445087
866	288	578	0.3325635103926097
867	288	579	0.33217993079584773
868	288	580	0.3317972350230415
869	288	581	0.33141542002301494
870	288	582	0.3310344827586207
871	289	582	0.33180252583237657
872	289	583	0.33142201834862384
873	290	583	0.3321878579610538
874	290	584	0.3318077803203661
875	291	584	0.3325714285714286
876	292	584	0.3333333333333333
877	292	585	0.3329532497149373
878	293	585	0.3337129840546697
879	294	585	0.33447098976109213
880	295	585	0.3352272727272727
881	295	586	0.3348467650397276
882	295	587	0.3344671201814059
883	295	588	0.33408833522083803
884	295	589	0.333710407239819
885	295	590	0.3333333333333333
886	296	590	0.3340857787810384
887	297	590	0.33483652762119503
888	297	591	0.3344594594594595
889	298	591	0.33520809898762655
890	298	592	0.3348314606741573
891	299	592	0.33557800224466894
892	299	593	0.3352017937219731
893	299	594	0.3348264277715566
894	299	595	0.3344519015659955
895	299	596	0.3340782122905028
896	300	596	0.33482142857142855
897	301	596	0.3355629877369008
898	302	596	0.3363028953229399
