caso com troca
iteração	 vencidas	 perdidas	 porcentagem	
557	367	190	0.6588868940754039
558	368	190	0.6594982078853047
559	368	191	0.6583184257602862
560	368	192	0.6571428571428571
561	368	193	0.6559714795008913
562	368	194	0.6548042704626335
563	368	195	0.6536412078152753
564	369	195	0.6542553191489362
565	370	195	0.6548672566371682
566	371	195	0.6554770318021201
567	372	195	0.656084656084656
568	373	195	0.6566901408450704
569	374	195	0.6572934973637962
570	375	195	0.6578947368421053
571	376	195	0.658493870402802
572	377	195	0.6590909090909091
573	377	196	0.6579406631762653
574	378	196	0.6585365853658537
575	379	196	0.6591304347826087
576	379	197	0.6579861111111112
577	380	197	0.658578856152513
578	381	197	0.6591695501730104
579	382	197	0.6597582037996546
580	382	198	0.6586206896551724
581	383	198	0.6592082616179001
582	383	199	0.6580756013745704
583	383	200	0.6569468267581475
584	384	200	0.6575342465753424
585	384	201	0.6564102564102564
586	385	201	0.6569965870307167
587	385	202	0.65587734241908
588	385	203	0.6547619047619048
589	386	203	0.6553480475382003
590	386	204	0.6542372881355932
591	387	204	0.6548223350253807
592	387	205	0.6537162162162162
593	387	206	0.6526138279932546
594	388	206	0.6531986531986532
595	388	207	0.6521008403361345
596	389	207	0.6526845637583892
597	390	207	0.6532663316582915
598	391	207	0.6538461538461539
599	391	208	0.6527545909849749
600	392	208	0.6533333333333333
601	393	208	0.653910149750416
602	394	208	0.654485049833887
603	394	209	0.6533996683250415
604	395	209	0.6539735099337748
605	395	210	0.6528925619834711
606	396	210	0.6534653465346535
607	397	210	0.6540362438220758
608	398	210	0.6546052631578947
609	398	211	0.6535303776683087
610	399	211	0.6540983606557377
611	399	212	0.6530278232405892
612	399	213	0.6519607843137255
613	400	213	0.6525285481239804
614	401	213	0.6530944625407166
615	401	214	0.6520325203252032
616	401	215	0.650974025974026
617	402	215	0.6515397082658023
618	403	215	0.6521035598705501
619	403	216	0.6510500807754442
620	403	217	0.65
621	404	217	0.6505636070853462
622	405	217	0.6511254019292605
623	406	217	0.651685393258427
624	407	217	0.6522435897435898
625	408	217	0.6528
626	409	217	0.6533546325878594
627	409	218	0.6523125996810207
628	410	218	0.6528662420382165
629	411	218	0.6534181240063593
630	412	218	0.653968253968254
631	412	219	0.652931854199683
632	412	220	0.6518987341772152
633	413	220	0.6524486571879937
634	413	221	0.6514195583596214
635	413	222	0.6503937007874016
636	414	222	0.6509433962264151
637	414	223	0.6499215070643642
638	414	224	0.6489028213166145
639	415	224	0.6494522691705791
640	415	225	0.6484375
641	416	225	0.6489859594383776
642	416	226	0.6479750778816199
643	417	226	0.6485225505443235
644	418	226	0.6490683229813664
645	418	227	0.648062015503876
646	419	227	0.6486068111455109
647	420	227	0.6491499227202473
648	421	227	0.6496913580246914
649	422	227	0.650231124807396
650	422	228	0.6492307692307693
651	423	228	0.6497695852534562
652	424	228	0.6503067484662577
653	424	229	0.6493108728943339
654	424	230	0.6483180428134556
655	425	230	0.648854961832061
656	425	231	0.6478658536585366
657	426	231	0.6484018264840182
658	426	232	0.6474164133738601
659	427	232	0.6479514415781487
660	427	233	0.646969696969697
661	427	234	0.6459909228441755
662	428	234	0.6465256797583081
663	428	235	0.6455505279034691
664	429	235	0.6460843373493976
665	430	235	0.6466165413533834
666	431	235	0.6471471471471472
667	431	236	0.6461769115442278
668	432	236	0.6467065868263473
669	432	237	0.6457399103139013
670	433	237	0.6462686567164179
671	433	238	0.6453055141579732
672	433	239	0.6443452380952381
673	433	240	0.6433878157503715
674	434	240	0.6439169139465876
675	435	240	0.6444444444444445
676	435	241	0.643491124260355
677	436	241	0.6440177252584933
678	437	241	0.644542772861357
679	438	241	0.6450662739322534
680	439	241	0.6455882352941177
681	440	241	0.6461086637298091
682	440	242	0.6451612903225806
683	441	242	0.6456808199121523
684	442	242	0.6461988304093568
685	443	242	0.6467153284671533
686	444	242	0.6472303206997084
687	445	242	0.6477438136826783
688	445	243	0.6468023255813954
689	445	244	0.6458635703918723
690	446	244	0.6463768115942029
691	447	244	0.6468885672937771
692	447	245	0.6459537572254336
693	448	245	0.6464646464646465
694	449	245	0.6469740634005764
695	450	245	0.6474820143884892
696	451	245	0.6479885057471264
697	452	245	0.648493543758967
698	453	245	0.6489971346704871
699	454	245	0.6494992846924177
700	455	245	0.65
701	455	246	0.6490727532097005
702	456	246	0.6495726495726496
703	457	246	0.6500711237553343
704	458	246	0.6505681818181818
705	458	247	0.649645390070922
706	459	247	0.6501416430594901
707	460	247	0.6506364922206507
708	460	248	0.6497175141242938
709	461	248	0.6502115655853314
710	462	248	0.6507042253521127
711	463	248	0.6511954992967651
712	464	248	0.651685393258427
713	465	248	0.6521739130434783
714	466	248	0.6526610644257703
715	467	248	0.6531468531468532
716	468	248	0.6536312849162011
717	469	248	0.6541143654114365
718	470	248	0.6545961002785515
719	471	248	0.655076495132128
720	472	248	0.6555555555555556
721	472	249	0.6546463245492372
722	473	249	0.6551246537396122
723	473	250	0.6542185338865837
724	474	250	0.6546961325966851
725	475	250	0.6551724137931034
726	476	250	0.6556473829201102
727	476	251	0.6547455295735901
728	477	251	0.6552197802197802
729	477	252	0.654320987654321
730	478	252	0.6547945205479452
731	479	252	0.655266757865937
732	480	252	0.6557377049180327
733	481	252	0.6562073669849932
734	482	252	0.6566757493188011
735	483	252	0.6571428571428571
736	484	252	0.657608695652174
737	485	252	0.6580732700135685
738	485	253	0.6571815718157181
739	485	254	0.6562922868741543
740	486	254	0.6567567567567567
741	486	255	0.6558704453441295
742	486	256	0.6549865229110512
743	486	257	0.6541049798115747
744	486	258	0.6532258064516129
745	486	259	0.6523489932885906
746	486	260	0.6514745308310992
747	486	261	0.6506024096385542
748	487	261	0.6510695187165776
749	488	261	0.6515353805073432
750	489	261	0.652
751	490	261	0.6524633821571239
752	490	262	0.651595744680851
753	491	262	0.6520584329349269
754	492	262	0.6525198938992043
755	493	262	0.6529801324503312
756	494	262	0.6534391534391535
757	495	262	0.6538969616908851
758	496	262	0.6543535620052771
759	496	263	0.6534914361001317
760	496	264	0.6526315789473685
761	497	264	0.6530880420499343
762	498	264	0.6535433070866141
763	499	264	0.653997378768021
764	499	265	0.6531413612565445
765	500	265	0.6535947712418301
766	501	265	0.6540469973890339
767	502	265	0.6544980443285529
768	502	266	0.6536458333333334
769	503	266	0.6540962288686606
770	504	266	0.6545454545454545
771	505	266	0.6549935149156939
772	506	266	0.655440414507772
773	506	267	0.6545924967658473
774	507	267	0.6550387596899225
775	508	267	0.655483870967742
776	509	267	0.6559278350515464
777	510	267	0.6563706563706564
778	510	268	0.6555269922879178
779	511	268	0.6559691912708601
780	511	269	0.6551282051282051
781	511	270	0.6542893725992317
782	512	270	0.6547314578005116
783	513	270	0.6551724137931034
784	514	270	0.6556122448979592
785	514	271	0.6547770700636942
786	515	271	0.6552162849872774
787	515	272	0.6543837357052097
788	516	272	0.6548223350253807
789	517	272	0.6552598225602028
790	517	273	0.6544303797468355
791	517	274	0.6536030341340076
792	518	274	0.6540404040404041
793	518	275	0.6532156368221942
794	519	275	0.6536523929471033
795	520	275	0.6540880503144654
796	521	275	0.6545226130653267
797	522	275	0.6549560853199499
798	523	275	0.6553884711779449
799	524	275	0.655819774718398
800	525	275	0.65625
801	526	275	0.6566791510611736
802	526	276	0.655860349127182
803	527	276	0.6562889165628891
804	528	276	0.6567164179104478
805	529	276	0.6571428571428571
806	529	277	0.6563275434243176
807	530	277	0.6567534076827757
808	531	277	0.6571782178217822
809	531	278	0.6563658838071693
810	531	279	0.6555555555555556
811	531	280	0.654747225647349
812	532	280	0.6551724137931034
813	532	281	0.6543665436654367
814	533	281	0.6547911547911548
815	534	281	0.6552147239263804
816	535	281	0.6556372549019608
817	536	281	0.6560587515299877
818	537	281	0.656479217603912
819	538	281	0.6568986568986569
820	538	282	0.6560975609756098
821	538	283	0.6552984165651644
822	539	283	0.6557177615571776
823	540	283	0.6561360874848117
824	541	283	0.6565533980582524
825	542	283	0.656969696969697
826	543	283	0.6573849878934624
827	543	284	0.656590084643289
828	544	284	0.6570048309178744
829	545	284	0.6574185765983113
830	546	284	0.6578313253012048
831	546	285	0.6570397111913358
832	547	285	0.6574519230769231
833	548	285	0.6578631452581032
834	549	285	0.658273381294964
835	550	285	0.6586826347305389
836	551	285	0.6590909090909091
837	551	286	0.6583034647550776
838	551	287	0.6575178997613366
839	552	287	0.6579261025029798
840	553	287	0.6583333333333333
841	554	287	0.6587395957193817
842	554	288	0.6579572446555819
843	555	288	0.6583629893238434
844	556	288	0.6587677725118484
845	556	289	0.6579881656804734
846	557	289	0.6583924349881797
847	558	289	0.6587957497048406
848	558	290	0.6580188679245284
849	558	291	0.657243816254417
850	559	291	0.6576470588235294
851	559	292	0.6568742655699178
852	560	292	0.6572769953051644
853	561	292	0.6576787807737398
854	562	292	0.65807962529274
855	563	292	0.6584795321637427
856	564	292	0.6588785046728972
857	565	292	0.6592765460910152
858	566	292	0.6596736596736597
859	567	292	0.660069848661234
860	567	293	0.6593023255813953
861	567	294	0.6585365853658537
862	568	294	0.6589327146171694
863	569	294	0.6593279258400927
864	570	294	0.6597222222222222
865	571	294	0.6601156069364161
866	571	295	0.6593533487297921
867	572	295	0.6597462514417531
868	573	295	0.6601382488479263
869	573	296	0.6593785960874569
870	574	296	0.6597701149425287
871	575	296	0.6601607347876005
872	576	296	0.6605504587155964
873	577	296	0.6609392898052692
874	578	296	0.6613272311212814
875	579	296	0.6617142857142857
876	579	297	0.660958904109589
877	579	298	0.6602052451539339
878	579	299	0.6594533029612756
879	580	299	0.6598407281001137
880	581	299	0.6602272727272728
881	581	300	0.659477866061294
882	582	300	0.6598639455782312
883	583	300	0.6602491506228766
884	583	301	0.6595022624434389
885	583	302	0.6587570621468927
886	584	302	0.6591422121896162
887	585	302	0.6595264937993236
888	586	302	0.6599099099099099
889	586	303	0.6591676040494938
890	586	304	0.6584269662921348
891	586	305	0.6576879910213244
892	586	306	0.6569506726457399
893	586	307	0.6562150055991042
894	586	308	0.6554809843400448
895	587	308	0.6558659217877095
896	588	308	0.65625
897	589	308	0.6566332218506131
898	590	308	0.6570155902004454
899	591	308	0.657397107897664
900	592	308	0.6577777777777778
901	593	308	0.658157602663707
902	594	308	0.6585365853658537
903	595	308	0.6589147286821705
904	595	309	0.6581858407079646
905	595	310	0.6574585635359116
906	595	311	0.6567328918322296
907	596	311	0.6571113561190739
908	597	311	0.6574889867841409
909	598	311	0.6578657865786579
910	599	311	0.6582417582417582
911	600	311	0.6586169045005489
912	601	311	0.6589912280701754
913	602	311	0.6593647316538883
914	602	312	0.6586433260393874
915	603	312	0.659016393442623
916	604	312	0.6593886462882096
917	605	312	0.6597600872410033
918	606	312	0.6601307189542484
